No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
1069,171,6,72.0,36.0,702000.0,63072.0,33410.0,0.0,20/12/2019 ,CIHAMPELAS
1070,171,6,72.0,36.0,702000.0,63072.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1071,171,6,72.0,36.0,702000.0,105120.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1072,171,6,72.0,36.0,702000.0,63072.0,94000.0,0.0,20/12/2019 ,CIHAMPELAS
1073,171,6,72.0,36.0,702000.0,105120.0,10332.0,0.0,20/12/2019 ,CIHAMPELAS
1074,171,6,72.0,36.0,702000.0,63072.0,23220.0,0.0,20/12/2019 ,CIHAMPELAS
1075,171,6,114.0,36.0,702000.0,80762.0,14400.0,0.0,20/12/2019 ,CIHAMPELAS
1076,171,6,102.0,36.0,702000.0,69708.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1077,171,6,114.0,36.0,702000.0,134604.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1078,171,6,72.0,36.0,702000.0,105120.0,15660.0,0.0,20/12/2019 ,CIHAMPELAS
1079,171,6,72.0,36.0,702000.0,105120.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1080,171,6,72.0,36.0,702000.0,63072.0,10800.0,0.0,20/12/2019 ,CIHAMPELAS
1081,171,6,72.0,36.0,702000.0,105120.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1082,171,6,107.0,36.0,702000.0,129690.0,14310.0,0.0,20/12/2019 ,CIHAMPELAS
1083,171,6,72.0,36.0,702000.0,63072.0,73300.0,0.0,20/12/2019 ,CIHAMPELAS
1084,171,6,108.0,36.0,702000.0,120392.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1085,171,6,72.0,36.0,702000.0,105120.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1086,171,6,72.0,36.0,702000.0,105120.0,52944.0,0.0,20/12/2019 ,CIHAMPELAS
1087,171,6,72.0,36.0,702000.0,105120.0,51744.0,0.0,20/12/2019 ,CIHAMPELAS
1088,171,6,72.0,36.0,702000.0,105120.0,19200.0,0.0,20/12/2019 ,CIHAMPELAS
1089,171,6,72.0,36.0,702000.0,63072.0,51984.0,0.0,20/12/2019 ,CIHAMPELAS
1090,171,6,96.0,36.0,702000.0,73181.0,52944.0,0.0,31/07/2020 ,CIHAMPELAS
1091,171,6,87.0,22.0,702000.0,84426.0,47605.0,0.0,20/12/2019 ,CIHAMPELAS
1092,171,6,87.0,22.0,702000.0,56656.0,74350.0,0.0,20/12/2019 ,CIHAMPELAS
